judul,pengarang,klasifikasi,status,genre_utama,subgenre,genre,content,image_url
Daun Sukun Si Daun Ajaib Penakluk Aneka Penyakit,Ning Harmanto,582.12,Penyiangan 2025-2,sains,umum,sains umum,daun sukun si daun ajaib penakluk aneka penyakit ning harmanto sains umum,/images/no_cover.png
Kreasi Kreatifku : Bingkai Foto dari Foam Art,Magarita Elen,745.5,Penyiangan 2025-2,umum,umum,umum umum,kreasi kreatifku  bingkai foto dari foam art magarita elen umum umum,/images/no_cover.png
Ayam Kampung Pedaging Unggul,M. Aman Yaman,636.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,ayam kampung pedaging unggul m aman yaman teknologi umum,/images/no_cover.png
Inden Surga pada Hari senin dan Kamis : Istimewanya Puasa Sunah Senin Kamis,Ridhoul Wahidi,297.413.2,Penyiangan 2025-2,agama,umum,agama umum,inden surga pada hari senin dan kamis  istimewanya puasa sunah senin kamis ridhoul wahidi agama umum,/images/no_cover.png
Semestinya Cinta : Izinkan aku memilikimu dengan caraku,Irfan Journey,FIK,Penyiangan 2025-2,umum,umum,umum umum,semestinya cinta  izinkan aku memilikimu dengan caraku irfan journey umum umum,/images/no_cover.png
Warisan Nabi yang Terlupakan : Sehat Gaya Rasul,Sagiran,613.7,Penyiangan 2025-2,teknologi,umum,teknologi umum,warisan nabi yang terlupakan  sehat gaya rasul sagiran teknologi umum,/images/no_cover.png
Membuat MOL dan Kompos dari Sampah Rumah Tangga,Mulyono,631.8,Penyiangan 2025-2,teknologi,umum,teknologi umum,membuat mol dan kompos dari sampah rumah tangga mulyono teknologi umum,/images/no_cover.png
Kanker Lenyap Berkat Sirsak,Ervizal AM Zuhud,582.12,Penyiangan 2025-2,sains,umum,sains umum,kanker lenyap berkat sirsak ervizal am zuhud sains umum,/images/no_cover.png
Menjawab Teka-Teki Berternak & Bisnis Kroto,Bayou Prayoga,638,Penyiangan 2025-2,teknologi,umum,teknologi umum,menjawab tekateki berternak  bisnis kroto bayou prayoga teknologi umum,/images/no_cover.png
Mudah Membuat Jelly Art,Sisca Susanto,641.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,mudah membuat jelly art sisca susanto teknologi umum,/images/no_cover.png
Panduan Wirausaha Roti Modern,Levi Adhitya Chan,641.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,panduan wirausaha roti modern levi adhitya chan teknologi umum,/images/no_cover.png
Meningkatkan Bobot Sapi Potong dengan Pakan Racikan Sendiri,Erick Erlangga,636.2,Penyiangan 2025-2,teknologi,umum,teknologi umum,meningkatkan bobot sapi potong dengan pakan racikan sendiri erick erlangga teknologi umum,/images/no_cover.png
Daun Sukun Si Daun Ajaib Penakluk Aneka Penyakit,Ning Harmanto,582.12,Penyiangan 2025-2,sains,umum,sains umum,daun sukun si daun ajaib penakluk aneka penyakit ning harmanto sains umum,/images/no_cover.png
Kreasi Kreatifku : Bingkai Foto dari Foam Art,Magarita Elen,745.5,Penyiangan 2025-2,umum,umum,umum umum,kreasi kreatifku  bingkai foto dari foam art magarita elen umum umum,/images/no_cover.png
Ayam Kampung Pedaging Unggul,M. Aman Yaman,636.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,ayam kampung pedaging unggul m aman yaman teknologi umum,/images/no_cover.png
Inden Surga pada Hari senin dan Kamis : Istimewanya Puasa Sunah Senin Kamis,Ridhoul Wahidi,297.413.2,Penyiangan 2025-2,agama,umum,agama umum,inden surga pada hari senin dan kamis  istimewanya puasa sunah senin kamis ridhoul wahidi agama umum,/images/no_cover.png
Semestinya Cinta : Izinkan aku memilikimu dengan caraku,Irfan Journey,FIK,Penyiangan 2025-2,umum,umum,umum umum,semestinya cinta  izinkan aku memilikimu dengan caraku irfan journey umum umum,/images/no_cover.png
Warisan Nabi yang Terlupakan : Sehat Gaya Rasul,Sagiran,613.7,Penyiangan 2025-2,teknologi,umum,teknologi umum,warisan nabi yang terlupakan  sehat gaya rasul sagiran teknologi umum,/images/no_cover.png
Membuat MOL dan Kompos dari Sampah Rumah Tangga,Mulyono,631.8,Penyiangan 2025-2,teknologi,umum,teknologi umum,membuat mol dan kompos dari sampah rumah tangga mulyono teknologi umum,/images/no_cover.png
Kanker Lenyap Berkat Sirsak,Ervizal AM Zuhud,582.12,Penyiangan 2025-2,sains,umum,sains umum,kanker lenyap berkat sirsak ervizal am zuhud sains umum,/images/no_cover.png
Bunga Felt : Membuat 30 Jenis Bunga,Lisa Tiyani,745.5,Penyiangan 2025-2,umum,umum,umum umum,bunga felt  membuat  jenis bunga lisa tiyani umum umum,/images/no_cover.png
Mudah Membuat Jelly Art,Sisca Susanto,641.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,mudah membuat jelly art sisca susanto teknologi umum,/images/no_cover.png
Panduan Wirausaha Roti Modern,Levi Adhitya Chan,641.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,panduan wirausaha roti modern levi adhitya chan teknologi umum,/images/no_cover.png
Enjoy Your Pregnancy Moms! : Panduan Calon Ibu untuk Menjalani Kehamilan dan Persalinan yang Menyenangkan,Ana Wardatul Jannah,619.2,Penyiangan 2025-2,teknologi,umum,teknologi umum,enjoy your pregnancy moms  panduan calon ibu untuk menjalani kehamilan dan persalinan yang menyenangkan ana wardatul jannah teknologi umum,/images/no_cover.png
Oumpah-Pah Bind Up : Si Kulit Merah,"Gascinny, Rene",FIK,Penyiangan 2025-2,umum,umum,umum umum,oumpahpah bind up  si kulit merah gascinny rene umum umum,/images/no_cover.png
Grant Anatomi Klinik Berorientasi pada Kasus Klinik,John V.Basmajian,611.9,Penyiangan 2025,teknologi,umum,teknologi umum,grant anatomi klinik berorientasi pada kasus klinik john vbasmajian teknologi umum,/images/no_cover.png
Bebas Penyakit Asam Urat Tanpa Obat,Lanny Lingga,616.13,Penyiangan 2025-2,teknologi,umum,teknologi umum,bebas penyakit asam urat tanpa obat lanny lingga teknologi umum,/images/no_cover.png
Siapa Penerus Saya? : Memoar Kehidupan Ustadz Al Buchori,Yusuf Mansur,297.98,Penyiangan 2025-2,agama,umum,agama umum,siapa penerus saya  memoar kehidupan ustadz al buchori yusuf mansur agama umum,/images/no_cover.png
Mencegah & Mengendalikan Flu Burung pada Itik & Ayam,Roni Fadilah,616.959,Penyiangan 2025-2,teknologi,umum,teknologi umum,mencegah  mengendalikan flu burung pada itik  ayam roni fadilah teknologi umum,/images/no_cover.png
Penyakit Asam Urat Kandas Berkat Herbal,Ersi Herliana,582.12,Penyiangan 2025-2,sains,umum,sains umum,penyakit asam urat kandas berkat herbal ersi herliana sains umum,/images/no_cover.png
"Ya Allah Tolong Aku : Aku Sedih, Aku Bingung, Aku Kesal",A.K,297.51,Penyiangan 2025-2,agama,umum,agama umum,ya allah tolong aku  aku sedih aku bingung aku kesal ak agama umum,/images/no_cover.png
Budi Daya Gurami,Riawan Putra Rahmat,639.31,Penyiangan 2025-2,teknologi,umum,teknologi umum,budi daya gurami riawan putra rahmat teknologi umum,/images/no_cover.png
Diet Aman & Sehat dengan Herbal,Prapti Utami,613.2,Penyiangan 2025-2,teknologi,umum,teknologi umum,diet aman  sehat dengan herbal prapti utami teknologi umum,/images/no_cover.png
Why? Renaissance and The Religious Reform,Craypas,909.07,Penyiangan 2025-2,sejarah,umum,sejarah umum,why renaissance and the religious reform craypas sejarah umum,/images/no_cover.png
Enjoy Your Pregnancy Moms! : Panduan Calon Ibu untuk Menjalani Kehamilan dan Persalinan yang Menyenangkan,Ana Wardatul Jannah,619.2,Penyiangan 2025-2,teknologi,umum,teknologi umum,enjoy your pregnancy moms  panduan calon ibu untuk menjalani kehamilan dan persalinan yang menyenangkan ana wardatul jannah teknologi umum,/images/no_cover.png
Phobia : Yang kau takuti adalah apa yang kau cintai,Assrianti dkk.,152.4,Penyiangan 2025-2,umum,umum,umum umum,phobia  yang kau takuti adalah apa yang kau cintai assrianti dkk umum umum,/images/no_cover.png
Kemuliaan Perempuan dalam Islam,Musdah Mulia,297.496,Penyiangan 2025-2,agama,umum,agama umum,kemuliaan perempuan dalam islam musdah mulia agama umum,/images/no_cover.png
Siapa Penerus Saya? : Memoar Kehidupan Ustadz Al Buchori,Yusuf Mansur,297.98,Penyiangan 2025-2,agama,umum,agama umum,siapa penerus saya  memoar kehidupan ustadz al buchori yusuf mansur agama umum,/images/no_cover.png
Mencegah & Mengendalikan Flu Burung pada Itik & Ayam,Roni Fadilah,616.959,Penyiangan 2025-2,teknologi,umum,teknologi umum,mencegah  mengendalikan flu burung pada itik  ayam roni fadilah teknologi umum,/images/no_cover.png
Penyakit Asam Urat Kandas Berkat Herbal,Ersi Herliana,582.12,Penyiangan 2025-2,sains,umum,sains umum,penyakit asam urat kandas berkat herbal ersi herliana sains umum,/images/no_cover.png
"Ya Allah Tolong Aku : Aku Sedih, Aku Bingung, Aku Kesal",A.K,297.51,Penyiangan 2025-2,agama,umum,agama umum,ya allah tolong aku  aku sedih aku bingung aku kesal ak agama umum,/images/no_cover.png
Budi Daya Gurami,Riawan Putra Rahmat,639.31,Penyiangan 2025-2,teknologi,umum,teknologi umum,budi daya gurami riawan putra rahmat teknologi umum,/images/no_cover.png
Diet Aman & Sehat dengan Herbal,Prapti Utami,613.2,Penyiangan 2025-2,teknologi,umum,teknologi umum,diet aman  sehat dengan herbal prapti utami teknologi umum,/images/no_cover.png
Antibiotik Alami untuk mengatasi Aneka Penyakit,Prapti Utami,615.329,Penyiangan 2025-2,teknologi,umum,teknologi umum,antibiotik alami untuk mengatasi aneka penyakit prapti utami teknologi umum,/images/no_cover.png
Enjoy Your Pregnancy Moms! : Panduan Calon Ibu untuk Menjalani Kehamilan dan Persalinan yang Menyenangkan,Ana Wardatul Jannah,619.2,Penyiangan 2025-2,teknologi,umum,teknologi umum,enjoy your pregnancy moms  panduan calon ibu untuk menjalani kehamilan dan persalinan yang menyenangkan ana wardatul jannah teknologi umum,/images/no_cover.png
Phobia : Yang kau takuti adalah apa yang kau cintai,Assrianti dkk.,152.4,Penyiangan 2025-2,umum,umum,umum umum,phobia  yang kau takuti adalah apa yang kau cintai assrianti dkk umum umum,/images/no_cover.png
Kemuliaan Perempuan dalam Islam,Musdah Mulia,297.496,Penyiangan 2025-2,agama,umum,agama umum,kemuliaan perempuan dalam islam musdah mulia agama umum,/images/no_cover.png
Siapa Penerus Saya? : Memoar Kehidupan Ustadz Al Buchori,Yusuf Mansur,297.98,Penyiangan 2025-2,agama,umum,agama umum,siapa penerus saya  memoar kehidupan ustadz al buchori yusuf mansur agama umum,/images/no_cover.png
Mencegah & Mengendalikan Flu Burung pada Itik & Ayam,Roni Fadilah,616.959,Penyiangan 2025-2,teknologi,umum,teknologi umum,mencegah  mengendalikan flu burung pada itik  ayam roni fadilah teknologi umum,/images/no_cover.png
Penyakit Asam Urat Kandas Berkat Herbal,Ersi Herliana,582.12,Penyiangan 2025-2,sains,umum,sains umum,penyakit asam urat kandas berkat herbal ersi herliana sains umum,/images/no_cover.png
"Ya Allah Tolong Aku : Aku Sedih, Aku Bingung, Aku Kesal",A.K,297.51,Penyiangan 2025-2,agama,umum,agama umum,ya allah tolong aku  aku sedih aku bingung aku kesal ak agama umum,/images/no_cover.png
Budi Daya Gurami,Riawan Putra Rahmat,639.31,Penyiangan 2025-2,teknologi,umum,teknologi umum,budi daya gurami riawan putra rahmat teknologi umum,/images/no_cover.png
Diet Aman & Sehat dengan Herbal,Prapti Utami,613.2,Penyiangan 2025-2,teknologi,umum,teknologi umum,diet aman  sehat dengan herbal prapti utami teknologi umum,/images/no_cover.png
Antibiotik Alami untuk mengatasi Aneka Penyakit,Prapti Utami,615.329,Penyiangan 2025-2,teknologi,umum,teknologi umum,antibiotik alami untuk mengatasi aneka penyakit prapti utami teknologi umum,/images/no_cover.png
Enjoy Your Pregnancy Moms! : Panduan Calon Ibu untuk Menjalani Kehamilan dan Persalinan yang Menyenangkan,Ana Wardatul Jannah,619.2,Penyiangan 2025-2,teknologi,umum,teknologi umum,enjoy your pregnancy moms  panduan calon ibu untuk menjalani kehamilan dan persalinan yang menyenangkan ana wardatul jannah teknologi umum,/images/no_cover.png
Oumpah-Pah Bind Up : Si Kulit Merah,"Gascinny, Rene",FIK,Penyiangan 2025-2,umum,umum,umum umum,oumpahpah bind up  si kulit merah gascinny rene umum umum,/images/no_cover.png
Bebas Penyakit Asam Urat Tanpa Obat,Lanny Lingga,616.13,Penyiangan 2025-2,teknologi,umum,teknologi umum,bebas penyakit asam urat tanpa obat lanny lingga teknologi umum,/images/no_cover.png
Siapa Penerus Saya? : Memoar Kehidupan Ustadz Al Buchori,Yusuf Mansur,297.98,Penyiangan 2025-2,agama,umum,agama umum,siapa penerus saya  memoar kehidupan ustadz al buchori yusuf mansur agama umum,/images/no_cover.png
Mencegah & Mengendalikan Flu Burung pada Itik & Ayam,Roni Fadilah,616.959,Penyiangan 2025-2,teknologi,umum,teknologi umum,mencegah  mengendalikan flu burung pada itik  ayam roni fadilah teknologi umum,/images/no_cover.png
Penyakit Asam Urat Kandas Berkat Herbal,Ersi Herliana,582.12,Penyiangan 2025-2,sains,umum,sains umum,penyakit asam urat kandas berkat herbal ersi herliana sains umum,/images/no_cover.png
Jaringan Mesh : Solusi Jitu Membangun Jaringan Wireless Gotong Royong Tanpa Access Point,Onno W purbo,004.6,Penyiangan 2025-2,umum,umum,umum umum,jaringan mesh  solusi jitu membangun jaringan wireless gotong royong tanpa access point onno w purbo umum umum,/images/no_cover.png
"Ya Allah Tolong Aku : Aku Sedih, Aku Bingung, Aku Kesal",A.K,297.51,Penyiangan 2025-2,agama,umum,agama umum,ya allah tolong aku  aku sedih aku bingung aku kesal ak agama umum,/images/no_cover.png
Budi Daya Gurami,Riawan Putra Rahmat,639.31,Penyiangan 2025-2,teknologi,umum,teknologi umum,budi daya gurami riawan putra rahmat teknologi umum,/images/no_cover.png
Diet Aman & Sehat dengan Herbal,Prapti Utami,613.2,Penyiangan 2025-2,teknologi,umum,teknologi umum,diet aman  sehat dengan herbal prapti utami teknologi umum,/images/no_cover.png
Why? Renaissance and The Religious Reform,Craypas,909.07,Penyiangan 2025-2,sejarah,umum,sejarah umum,why renaissance and the religious reform craypas sejarah umum,/images/no_cover.png
Etika Islam Menuju Evolusi Diri,Faidh Kasyani,297.51,Penyiangan 2025-2,agama,umum,agama umum,etika islam menuju evolusi diri faidh kasyani agama umum,/images/no_cover.png
"Kumpulan Dongeng Binatang Langka : Menarik, Jenaka & Penuh Pesan Moral",Mulasih Tary,398.2,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,kumpulan dongeng binatang langka  menarik jenaka  penuh pesan moral mulasih tary sosial politik umum,/images/no_cover.png
Tip & Trik Membuahkan Tanaman Buah dalam Pot,Silvia Herawati,634,Penyiangan 2025-2,teknologi,umum,teknologi umum,tip  trik membuahkan tanaman buah dalam pot silvia herawati teknologi umum,/images/no_cover.png
Halaman Organik,Soeparwan Soeleman,635.98,Penyiangan 2025-2,teknologi,umum,teknologi umum,halaman organik soeparwan soeleman teknologi umum,/images/no_cover.png
Pedoman Lengkap Bertanam Kentang,Nurul Idawati,635.2,Penyiangan 2025-2,teknologi,umum,teknologi umum,pedoman lengkap bertanam kentang nurul idawati teknologi umum,/images/no_cover.png
"Untung Segunung Bertanam Aneka Bawang : Bawang Merah, Bawang Putih, dan Bawang Bombay",Nurfita Dewi,635.2,Penyiangan 2025-2,teknologi,umum,teknologi umum,untung segunung bertanam aneka bawang  bawang merah bawang putih dan bawang bombay nurfita dewi teknologi umum,/images/no_cover.png
Pak Beye dan Keluarga,Wisnu Nugroho,923.1,Penyiangan 2025-2,sejarah,umum,sejarah umum,pak beye dan keluarga wisnu nugroho sejarah umum,/images/no_cover.png
Sabda Palon : Kisah Nusantara yang Disembunyikan,Damar Shashangka,899.222,Penyiangan 2025-2,sastra,umum,sastra umum,sabda palon  kisah nusantara yang disembunyikan damar shashangka sastra umum,/images/no_cover.png
My Adorable Sensei,Kitagawa Yuka,FIK,Penyiangan 2025-2,umum,umum,umum umum,my adorable sensei kitagawa yuka umum umum,/images/no_cover.png
Mohammad Hatta : Hati Nurani Bangsa,Deliar Noor,923.1,Penyiangan 2025-2,sejarah,umum,sejarah umum,mohammad hatta  hati nurani bangsa deliar noor sejarah umum,/images/no_cover.png
Aishiteiru I Love You,Kijima Erin,FIK,Penyiangan 2025-2,umum,umum,umum umum,aishiteiru i love you kijima erin umum umum,/images/no_cover.png
"Terima kasih, Mama / Orihara Mito",Orihara Mito,FIK,Penyiangan 2025-2,umum,umum,umum umum,terima kasih mama  orihara mito orihara mito umum umum,/images/no_cover.png
Soekarno Arsitek Bangsa,"Hering, Bob",923.1,Penyiangan 2025-2,sejarah,umum,sejarah umum,soekarno arsitek bangsa hering bob sejarah umum,/images/no_cover.png
Gus Dur : Menjawab Perubahan Zaman,Abdurrahman Wahid,320,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,gus dur  menjawab perubahan zaman abdurrahman wahid sosial politik umum,/images/no_cover.png
Induk Ilmu Kejawen : Wirid Hidayat Jati,Damar Shashangka,899.222,Penyiangan 2025-2,sastra,umum,sastra umum,induk ilmu kejawen  wirid hidayat jati damar shashangka sastra umum,/images/no_cover.png
The Lady of The Lake Mirror,"Wong, Tony",FIK,Penyiangan 2025-2,umum,umum,umum umum,the lady of the lake mirror wong tony umum umum,/images/no_cover.png
"MEKKAH : Kota Suci, Kekuasaan, dan Teladan Ibrahim",Zuhairi Misrawi,297.912.2,Penyiangan 2025-2,agama,umum,agama umum,mekkah  kota suci kekuasaan dan teladan ibrahim zuhairi misrawi agama umum,/images/no_cover.png
Chairul Tanjung Si Anak Singkong,Tjahja Gunawan Diredja,923.3,Penyiangan 2025-2,sejarah,umum,sejarah umum,chairul tanjung si anak singkong tjahja gunawan diredja sejarah umum,/images/no_cover.png
Takdir : Riwayat Pangeran Diponegoro (1785-1855),"Carey, Peter",923.5,Penyiangan 2025-2,sejarah,umum,sejarah umum,takdir  riwayat pangeran diponegoro  carey peter sejarah umum,/images/no_cover.png
Arus Cina-Islam-Jawa : Bongkar Sejarah atas Peranan Tionghoa dalam Penyebaran Agama Islam di Nusantara Abad XV & XVI,Sumanto Al Qurtuby,959.801,Penyiangan 2025-2,sejarah,umum,sejarah umum,arus cinaislamjawa  bongkar sejarah atas peranan tionghoa dalam penyebaran agama islam di nusantara abad xv  xvi sumanto al qurtuby sejarah umum,/images/no_cover.png
Sabda Palon Geger Majapahit,Damar Shashangka,959.38,Penyiangan 2025-2,sejarah,umum,sejarah umum,sabda palon geger majapahit damar shashangka sejarah umum,/images/no_cover.png
Bung Hatta dan Ekonomi Islam : Menangkap Makna Maqashid al Syari'ah,Anwar Abbas,923.1,Penyiangan 2025-2,sejarah,umum,sejarah umum,bung hatta dan ekonomi islam  menangkap makna maqashid al syariah anwar abbas sejarah umum,/images/no_cover.png
Sabda Palon : Roh Nusantara dan Orang-Orang Atas Angin,Damar Shashangka,899.222,Penyiangan 2025-2,sastra,umum,sastra umum,sabda palon  roh nusantara dan orangorang atas angin damar shashangka sastra umum,/images/no_cover.png
"Jalur Gaza : Tanah Terjanji, Intifada, dan Pembersihan Etnis",Trias Kuncahyono,953.1,Penyiangan 2025-2,sejarah,umum,sejarah umum,jalur gaza  tanah terjanji intifada dan pembersihan etnis trias kuncahyono sejarah umum,/images/no_cover.png
"Madinah : Kota Suci, Piagam Madinah dan Teladan Muhammad SAW",Zuhairi Misrawi,297.912.3,Penyiangan 2025-2,agama,umum,agama umum,madinah  kota suci piagam madinah dan teladan muhammad saw zuhairi misrawi agama umum,/images/no_cover.png
Misteri Borobudur : Candi Borobudur Bukan Peninggalan Nabi Sulaiman,Seno Panyadewa,722.4,Penyiangan 2025-2,umum,umum,umum umum,misteri borobudur  candi borobudur bukan peninggalan nabi sulaiman seno panyadewa umum umum,/images/no_cover.png
Mohammad Hatta jilid 2: Berjuang dan Dibuang,Mohammad Hatta,923.1,Penyiangan 2025-2,sejarah,umum,sejarah umum,mohammad hatta jilid  berjuang dan dibuang mohammad hatta sejarah umum,/images/no_cover.png
Rahasia Menjadi Jawara Mancing,Panji Nugroho,799.1,Penyiangan 2025-2,umum,umum,umum umum,rahasia menjadi jawara mancing panji nugroho umum umum,/images/no_cover.png
"Solusi Sehat Mencegah & Mengatasi Kanker : Terapi herbal, terapi diet, terapi jus",Yellia Mangan,616.99,Penyiangan 2025-2,teknologi,umum,teknologi umum,solusi sehat mencegah  mengatasi kanker  terapi herbal terapi diet terapi jus yellia mangan teknologi umum,/images/no_cover.png
Panduan Lengkap Agribisnis Patin,Kholish Mahyuddin,639.31,Penyiangan 2025-2,teknologi,umum,teknologi umum,panduan lengkap agribisnis patin kholish mahyuddin teknologi umum,/images/no_cover.png
Bung Karno & Kemeja Arrow,Asvi Warman Adam,923.1,Penyiangan 2025-2,sejarah,umum,sejarah umum,bung karno  kemeja arrow asvi warman adam sejarah umum,/images/no_cover.png
Pesan Al-Quran untuk Sastrawan,Aguk Irawan MN,297.08,Penyiangan 2025-2,agama,umum,agama umum,pesan alquran untuk sastrawan aguk irawan mn agama umum,/images/no_cover.png
Kumpulan Khotbah Jumat yang Mengubah Hidup,Nurdin Hasan,297.412.4,Penyiangan 2025-2,agama,umum,agama umum,kumpulan khotbah jumat yang mengubah hidup nurdin hasan agama umum,/images/no_cover.png
Ensiklopedia Transportasi Dunia Darat-Air-Udara,Nuri Mentari Dini,629.040 3,Penyiangan 2025-2,teknologi,umum,teknologi umum,ensiklopedia transportasi dunia daratairudara nuri mentari dini teknologi umum,/images/no_cover.png
Petunjuk Praktis Pembibitan Jabon & Sengon,Dadan Mulyana,634.99,Penyiangan 2025-2,teknologi,umum,teknologi umum,petunjuk praktis pembibitan jabon  sengon dadan mulyana teknologi umum,/images/no_cover.png
#Beranibeda : Juki untuk Indonesia Satu,Faza Meonk,741.5,Penyiangan 2025-2,umum,umum,umum umum,beranibeda  juki untuk indonesia satu faza meonk umum umum,/images/no_cover.png
Si Juki dan Petualangan Lulus UN,Faza Meonk,741.5,Penyiangan 2025-2,umum,umum,umum umum,si juki dan petualangan lulus un faza meonk umum umum,/images/no_cover.png
Padi Sri Organik Indonesia,Mubiar Purwasasmita,631.58,Penyiangan 2025-2,teknologi,umum,teknologi umum,padi sri organik indonesia mubiar purwasasmita teknologi umum,/images/no_cover.png
"Beternak Kambing Tanpa : Bau, Angon, dan Ngarit",Norbertus Kaleka,636.3,Penyiangan 2025-2,teknologi,umum,teknologi umum,beternak kambing tanpa  bau angon dan ngarit norbertus kaleka teknologi umum,/images/no_cover.png
Risalah Sayr wa Suluk,Jawad Maliki Tabrizi,297.31,Penyiangan 2025-2,agama,umum,agama umum,risalah sayr wa suluk jawad maliki tabrizi agama umum,/images/no_cover.png
Kronik Peralihan Nusantara : Liga Raja-Raja Hingga Kolonial,Bayu Widiyatmoko,959.8,Penyiangan 2025-2,sejarah,umum,sejarah umum,kronik peralihan nusantara  liga rajaraja hingga kolonial bayu widiyatmoko sejarah umum,/images/no_cover.png
Teen-Licious Comic,Rudiansyah Sadewa,FIK,Penyiangan 2025-2,umum,umum,umum umum,teenlicious comic rudiansyah sadewa umum umum,/images/no_cover.png
Nyengir Bareng Dahlan,Chris Oetoyo,741.5,Penyiangan 2025-2,umum,umum,umum umum,nyengir bareng dahlan chris oetoyo umum umum,/images/no_cover.png
Priceless Moment,Prisca Primasari,FIK,Penyiangan 2025-2,umum,umum,umum umum,priceless moment prisca primasari umum umum,/images/no_cover.png
Buku Pintar Budi Daya Semut Jepang,Sakti Abimanyu,638,Penyiangan 2025-2,teknologi,umum,teknologi umum,buku pintar budi daya semut jepang sakti abimanyu teknologi umum,/images/no_cover.png
Mental Baja dan Gila Jadi Pengusaha UKM (Usaha Kecil Milyaran),"Sahetapi, Royke",650.1,Penyiangan 2025-2,teknologi,umum,teknologi umum,mental baja dan gila jadi pengusaha ukm usaha kecil milyaran sahetapi royke teknologi umum,/images/no_cover.png
Tip & Trik Membuahkan Tanaman Buah dalam Pot,Silvia Herawati,634,Penyiangan 2025-2,teknologi,umum,teknologi umum,tip  trik membuahkan tanaman buah dalam pot silvia herawati teknologi umum,/images/no_cover.png
2 Menit Membaca Pikiran Orang,Bayu W. Ayogya,128.2,Penyiangan 2025-2,umum,umum,umum umum, menit membaca pikiran orang bayu w ayogya umum umum,/images/no_cover.png
"Untung Segunung Bertanam Aneka Bawang : Bawang Merah, Bawang Putih, dan Bawang Bombay",Nurfita Dewi,635.2,Penyiangan 2025-2,teknologi,umum,teknologi umum,untung segunung bertanam aneka bawang  bawang merah bawang putih dan bawang bombay nurfita dewi teknologi umum,/images/no_cover.png
Pak Beye dan Keluarga,Wisnu Nugroho,923.1,Penyiangan 2025-2,sejarah,umum,sejarah umum,pak beye dan keluarga wisnu nugroho sejarah umum,/images/no_cover.png
Mengobarkan Kembali Api Pancasila,Sayidiman Suryohadiprojo,320.509 598,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,mengobarkan kembali api pancasila sayidiman suryohadiprojo sosial politik umum,/images/no_cover.png
"Anger, Laugh and Love",Satori Tae,FIK,Penyiangan 2025-2,umum,umum,umum umum,anger laugh and love satori tae umum umum,/images/no_cover.png
Mohammad Hatta : Hati Nurani Bangsa,Deliar Noor,923.1,Penyiangan 2025-2,sejarah,umum,sejarah umum,mohammad hatta  hati nurani bangsa deliar noor sejarah umum,/images/no_cover.png
Beautiful Cosplayer,Izumi Hiou,FIK,Penyiangan 2025-2,umum,umum,umum umum,beautiful cosplayer izumi hiou umum umum,/images/no_cover.png
Soekarno Arsitek Bangsa,"Hering, Bob",923.1,Penyiangan 2025-2,sejarah,umum,sejarah umum,soekarno arsitek bangsa hering bob sejarah umum,/images/no_cover.png
Gus Dur : Menjawab Perubahan Zaman,Abdurrahman Wahid,320,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,gus dur  menjawab perubahan zaman abdurrahman wahid sosial politik umum,/images/no_cover.png
Islam Kosmopolitan : Nilai-Nilai Indonesia & Transformasi Kebudayaan,Abdurrahman Wahid,320,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,islam kosmopolitan  nilainilai indonesia  transformasi kebudayaan abdurrahman wahid sosial politik umum,/images/no_cover.png
Runway Dream!,Arai Kiyoko,FIK,Penyiangan 2025-2,umum,umum,umum umum,runway dream arai kiyoko umum umum,/images/no_cover.png
10 Tahun Bersama SBY,Saldi Isra,923.1,Penyiangan 2025-2,sejarah,umum,sejarah umum, tahun bersama sby saldi isra sejarah umum,/images/no_cover.png
"MEKKAH : Kota Suci, Kekuasaan, dan Teladan Ibrahim",Zuhairi Misrawi,297.912.2,Penyiangan 2025-2,agama,umum,agama umum,mekkah  kota suci kekuasaan dan teladan ibrahim zuhairi misrawi agama umum,/images/no_cover.png
Chairul Tanjung Si Anak Singkong,Tjahja Gunawan Diredja,923.3,Penyiangan 2025-2,sejarah,umum,sejarah umum,chairul tanjung si anak singkong tjahja gunawan diredja sejarah umum,/images/no_cover.png
Takdir : Riwayat Pangeran Diponegoro (1785-1855),"Carey, Peter",923.5,Penyiangan 2025-2,sejarah,umum,sejarah umum,takdir  riwayat pangeran diponegoro  carey peter sejarah umum,/images/no_cover.png
Gatholoco : Rahasia Ilmu Sejati dan Asmaragama,Damar Shashangka,899.222,Penyiangan 2025-2,sastra,umum,sastra umum,gatholoco  rahasia ilmu sejati dan asmaragama damar shashangka sastra umum,/images/no_cover.png
Wali Sanga,Damar Shashangka,899.222,Penyiangan 2025-2,sastra,umum,sastra umum,wali sanga damar shashangka sastra umum,/images/no_cover.png
